idade,ano,sexo,clientela,populacao
0,2013,1,1,1078174
0,2013,1,2,206013
0,2013,3,1,1052553
0,2013,3,2,194692
0,2014,1,1,1142753
0,2014,1,2,205491
0,2014,3,1,1082431
0,2014,3,2,195006
0,2015,1,1,1088181
0,2015,1,2,207031
0,2015,3,1,1011475
0,2015,3,2,207325
0,2016,1,1,1097213
0,2016,1,2,208749
0,2016,3,1,1019870
0,2016,3,2,209046
0,2017,1,1,1105991
0,2017,1,2,210419
0,2017,3,1,1028029
0,2017,3,2,210718
0,2018,1,1,1115060
0,2018,1,2,212144
0,2018,3,1,1036459
0,2018,3,2,212446
0,2019,1,1,1123869
0,2019,1,2,213820
0,2019,3,1,1044647
0,2019,3,2,214124
0,2020,1,1,1132523
0,2020,1,2,215466
0,2020,3,1,1052691
0,2020,3,2,215773
0,2021,1,1,1140904
0,2021,1,2,217060
0,2021,3,1,1060481
0,2021,3,2,217370
0,2022,1,1,1149004
0,2022,1,2,218601
0,2022,3,1,1068010
0,2022,3,2,218913
0,2023,1,1,1156817
0,2023,1,2,220087
0,2023,3,1,1075272
0,2023,3,2,220402
0,2024,1,1,1164336
0,2024,1,2,221518
0,2024,3,1,1082261
0,2024,3,2,221835
0,2025,1,1,1171555
0,2025,1,2,222891
0,2025,3,1,1088971
0,2025,3,2,223210
0,2026,1,1,1178467
0,2026,1,2,224206
0,2026,3,1,1095396
0,2026,3,2,224527
0,2027,1,1,1185066
0,2027,1,2,225462
0,2027,3,1,1101530
0,2027,3,2,225784
0,2028,1,1,1191347
0,2028,1,2,226657
0,2028,3,1,1107368
0,2028,3,2,226981
0,2029,1,1,1197304
0,2029,1,2,227790
0,2029,3,1,1112905
0,2029,3,2,228116
0,2030,1,1,1202931
0,2030,1,2,228861
0,2030,3,1,1118136
0,2030,3,2,229188
0,2031,1,1,1208224
0,2031,1,2,229868
0,2031,3,1,1123056
0,2031,3,2,230196
0,2032,1,1,1213178
0,2032,1,2,230810
0,2032,3,1,1127661
0,2032,3,2,231140
0,2033,1,1,1217788
0,2033,1,2,231687
0,2033,3,1,1131946
0,2033,3,2,232018
0,2034,1,1,1222050
0,2034,1,2,232498
0,2034,3,1,1135908
0,2034,3,2,232830
0,2035,1,1,1225961
0,2035,1,2,233242
0,2035,3,1,1139543
0,2035,3,2,233575
0,2036,1,1,1229516
0,2036,1,2,233918
0,2036,3,1,1142848
0,2036,3,2,234252
0,2037,1,1,1232836
0,2037,1,2,234550
0,2037,3,1,1145934
0,2037,3,2,234884
0,2038,1,1,1235795
0,2038,1,2,235113
0,2038,3,1,1148684
0,2038,3,2,235448
0,2039,1,1,1238390
0,2039,1,2,235607
0,2039,3,1,1151096
0,2039,3,2,235942
0,2040,1,1,1240619
0,2040,1,2,236031
0,2040,3,1,1153168
0,2040,3,2,236367
0,2041,1,1,1242604
0,2041,1,2,236409
0,2041,3,1,1155013
0,2041,3,2,236745
0,2042,1,1,1244219
0,2042,1,2,236716
0,2042,3,1,1156515
0,2042,3,2,237053
0,2043,1,1,1245588
0,2043,1,2,236976
0,2043,3,1,1157787
0,2043,3,2,237314
0,2044,1,1,1246584
0,2044,1,2,237166
0,2044,3,1,1158713
0,2044,3,2,237504
0,2045,1,1,1247332
0,2045,1,2,237308
0,2045,3,1,1159408
0,2045,3,2,237647
0,2046,1,1,1247706
0,2046,1,2,237379
0,2046,3,1,1159756
0,2046,3,2,237718
0,2047,1,1,1247831
0,2047,1,2,237403
0,2047,3,1,1159872
0,2047,3,2,237742
0,2048,1,1,1247581
0,2048,1,2,237356
0,2048,3,1,1159640
0,2048,3,2,237694
0,2049,1,1,1247082
0,2049,1,2,237261
0,2049,3,1,1159176
0,2049,3,2,237599
0,2050,1,1,1246209
0,2050,1,2,237095
0,2050,3,1,1158365
0,2050,3,2,237433
0,2051,1,1,1245087
0,2051,1,2,236882
0,2051,3,1,1157322
0,2051,3,2,237219
0,2052,1,1,1243593
0,2052,1,2,236598
0,2052,3,1,1155933
0,2052,3,2,236934
0,2053,1,1,1241852
0,2053,1,2,236267
0,2053,3,1,1154315
0,2053,3,2,236602
0,2054,1,1,1239865
0,2054,1,2,235889
0,2054,3,1,1152468
0,2054,3,2,236223
0,2055,1,1,1242221
0,2055,1,2,236337
0,2055,3,1,1154658
0,2055,3,2,236672
0,2056,1,1,1239612
0,2056,1,2,235841
0,2056,3,1,1152233
0,2056,3,2,236175
0,2057,1,1,1236637
0,2057,1,2,235275
0,2057,3,1,1149468
0,2057,3,2,235608
0,2058,1,1,1233422
0,2058,1,2,234663
0,2058,3,1,1146479
0,2058,3,2,234995
0,2059,1,1,1229845
0,2059,1,2,233982
0,2059,3,1,1143154
0,2059,3,2,234314
0,2060,1,1,1226032
0,2060,1,2,233257
0,2060,3,1,1139610
0,2060,3,2,233588
1,2013,1,1,4584219
1,2013,1,2,921103
1,2013,3,1,4356218
1,2013,3,2,856291
1,2014,1,1,4464857
1,2014,1,2,923514
1,2014,3,1,4504433
1,2014,3,2,835785
1,2015,1,1,4491543
1,2015,1,2,842858
1,2015,3,1,4309394
1,2015,3,2,783651
1,2016,1,1,4528823
1,2016,1,2,849854
1,2016,3,1,4345162
1,2016,3,2,790155
1,2017,1,1,4565054
1,2017,1,2,856653
1,2017,3,1,4379923
1,2017,3,2,796476
1,2018,1,1,4602487
1,2018,1,2,863678
1,2018,3,1,4415838
1,2018,3,2,803007
1,2019,1,1,4638847
1,2019,1,2,870501
1,2019,3,1,4450723
1,2019,3,2,809351
1,2020,1,1,4674566
1,2020,1,2,877204
1,2020,3,1,4484994
1,2020,3,2,815583
1,2021,1,1,4709158
1,2021,1,2,883695
1,2021,3,1,4518183
1,2021,3,2,821618
1,2022,1,1,4742593
1,2022,1,2,889969
1,2022,3,1,4550262
1,2022,3,2,827451
1,2023,1,1,4774843
1,2023,1,2,896021
1,2023,3,1,4581204
1,2023,3,2,833078
1,2024,1,1,4805879
1,2024,1,2,901845
1,2024,3,1,4610982
1,2024,3,2,838493
1,2025,1,1,4835675
1,2025,1,2,907436
1,2025,3,1,4639570
1,2025,3,2,843692
1,2026,1,1,4864205
1,2026,1,2,912790
1,2026,3,1,4666943
1,2026,3,2,848670
1,2027,1,1,4891445
1,2027,1,2,917902
1,2027,3,1,4693078
1,2027,3,2,853423
1,2028,1,1,4917370
1,2028,1,2,922767
1,2028,3,1,4717951
1,2028,3,2,857946
1,2029,1,1,4941957
1,2029,1,2,927381
1,2029,3,1,4741541
1,2029,3,2,862236
1,2030,1,1,4965184
1,2030,1,2,931740
1,2030,3,1,4763826
1,2030,3,2,866289
1,2031,1,1,4987031
1,2031,1,2,935840
1,2031,3,1,4784787
1,2031,3,2,870101
1,2032,1,1,5007478
1,2032,1,2,939677
1,2032,3,1,4804405
1,2032,3,2,873668
1,2033,1,1,5026506
1,2033,1,2,943248
1,2033,3,1,4822662
1,2033,3,2,876988
1,2034,1,1,5044099
1,2034,1,2,946549
1,2034,3,1,4839541
1,2034,3,2,880057
1,2035,1,1,5060240
1,2035,1,2,949578
1,2035,3,1,4855028
1,2035,3,2,882873
1,2036,1,1,5074915
1,2036,1,2,952332
1,2036,3,1,4869108
1,2036,3,2,885433
1,2037,1,1,5088617
1,2037,1,2,954903
1,2037,3,1,4882255
1,2037,3,2,887824
1,2038,1,1,5100830
1,2038,1,2,957195
1,2038,3,1,4893972
1,2038,3,2,889955
1,2039,1,1,5111542
1,2039,1,2,959205
1,2039,3,1,4904249
1,2039,3,2,891824
1,2040,1,1,5120743
1,2040,1,2,960932
1,2040,3,1,4913077
1,2040,3,2,893429
1,2041,1,1,5128936
1,2041,1,2,962469
1,2041,3,1,4920938
1,2041,3,2,894858
1,2042,1,1,5135604
1,2042,1,2,963720
1,2042,3,1,4927335
1,2042,3,2,896021
1,2043,1,1,5141253
1,2043,1,2,964780
1,2043,3,1,4932755
1,2043,3,2,897007
1,2044,1,1,5145366
1,2044,1,2,965552
1,2044,3,1,4936701
1,2044,3,2,897725
1,2045,1,1,5148453
1,2045,1,2,966131
1,2045,3,1,4939663
1,2045,3,2,898264
1,2046,1,1,5149998
1,2046,1,2,966421
1,2046,3,1,4941145
1,2046,3,2,898533
1,2047,1,1,5150513
1,2047,1,2,966518
1,2047,3,1,4941639
1,2047,3,2,898623
1,2048,1,1,5149483
1,2048,1,2,966325
1,2048,3,1,4940651
1,2048,3,2,898443
1,2049,1,1,5147423
1,2049,1,2,965938
1,2049,3,1,4938675
1,2049,3,2,898084
1,2050,1,1,5143820
1,2050,1,2,965262
1,2050,3,1,4935218
1,2050,3,2,897455
1,2051,1,1,5139191
1,2051,1,2,964393
1,2051,3,1,4930776
1,2051,3,2,896647
1,2052,1,1,5133024
1,2052,1,2,963236
1,2052,3,1,4924859
1,2052,3,2,895571
1,2053,1,1,5125838
1,2053,1,2,961887
1,2053,3,1,4917964
1,2053,3,2,894317
1,2054,1,1,5117637
1,2054,1,2,960348
1,2054,3,1,4910095
1,2054,3,2,892886
1,2055,1,1,5127361
1,2055,1,2,962173
1,2055,3,1,4919424
